DEP,ESTE,NORTE,X9,X8,X7,X6,X5,X4,X3
"1",277544.15820000001,888470.40670000005,-0.66562,1.46513,3.58799,1.15827,-0.24269,73.64441,313.11310
"1",276971.00990000000,885379.76040000003,-0.47225,1.51883,3.59148,1.09569,-0.06387,92.75813,216.11287
"1",256919.56159999999,910406.54079999996,-0.37583,1.51353,3.73218,1.22381,0.04678,112.29831,212.53781
"1",256892.23319999999,911415.21759999997,-0.37583,1.51353,3.73218,1.22381,0.04678,112.29831,212.53781
"1",256327.45920000001,912799.79989999998,-0.36133,1.51004,3.71220,1.21462,0.11351,146.94756,450.15530
"1",284061.02409999998,878198.57380000001,-0.36444,1.73984,3.46840,1.31941,-0.06212,76.84056,383.85522
"1",280678.88829999999,877305.61690000002,-0.41954,1.52618,3.50946,1.06976,-0.00894,39.33306,122.00092
"1",284532.21299999999,880626.09400000004,-0.27947,1.76278,3.76381,1.26514,0.20195,3.38824,170.23898
"1",253725.54259999999,854341.63600000006,0.12534,2.41451,4.18569,1.32173,0.93320,131.14989,125.74643
"1",256124.85730000000,852267.54440000001,-0.16386,2.20391,3.84063,1.11970,0.42570,161.40422,162.44849
"1",256171.90950000001,853542.93729999999,-0.07025,2.22126,3.85380,1.12825,0.46665,73.31139,106.41254
"1",253527.29579999999,853502.30740000005,-0.26189,2.12614,3.82246,1.07541,0.30673,166.71487,192.74297
"1",259806.36970000001,869812.46180000005,-0.12120,1.74244,3.86290,1.11191,0.13408,64.91723,237.33127
"1",242081.67679999999,886443.33389999997,-0.24642,1.76610,4.23274,1.22587,0.20569,33.06186,5.54320
"1",254715.85999999999,877021.62009999994,0.03885,1.67477,3.69803,1.12130,0.36882,42.31257,32.31245
"1",221060.89170000001,917583.40090000001,-0.00432,2.48917,4.60614,1.35093,0.79176,57.06743,-9.78233
"1",207989.08510000000,883869.24919999996,-0.29186,1.80733,4.31566,1.19276,-0.26799,8.75190,-7.04969
"1",218333.23190000001,846499.33779999998,-0.48951,1.85595,3.94747,1.09149,0.31871,36.82460,44.32802
"1",168418.54250000001,935321.36410000001,0.13378,2.18348,4.50211,1.26751,0.68118,41.11683,-59.96567
"1",174058.45280000000,922133.09580000001,-0.10756,2.03599,4.22190,1.41179,0.42271,26.29745,47.41240
"1",250832.29029999999,922397.51679999998,-0.41168,1.60581,3.72165,1.14236,-0.17072,43.79684,288.81421
"1",205735.68909999999,971126.13210000005,-0.58043,1.80348,4.15173,1.20875,-0.22221,20.81561,40.24026
"1",192740.00020000001,893822.44290000002,0.18855,2.02116,4.30063,1.30436,0.26405,48.51300,55.93044
"1",250905.13140000001,917978.55110000004,-0.39301,1.65885,3.75517,1.13145,-0.22475,116.10646,168.52658
"1",248314.26770000000,922996.47919999994,-0.44631,1.52611,3.70241,1.12818,-0.31364,94.42793,259.66388
"1",245854.04970000000,926855.63679999998,-0.41440,1.60033,3.65519,1.27891,0.24892,129.24086,425.71243
"1",266139.65240000002,897771.16029999999,-0.37779,1.64274,3.81995,1.21699,0.02062,117.79256,33.07111
"1",282123.29599999997,886509.90610000002,-0.79368,1.34286,3.44443,1.07929,0.07417,63.65436,61.70845
"1",273917.60149999999,883310.26549999998,-0.50833,1.37017,3.53837,0.84394,-0.31650,23.41841,66.35197
"1",284795.71200000000,877268.53929999995,-0.38581,1.63780,3.46080,1.20123,-0.11322,69.53127,301.86786
"1",258860.09539999999,910820.95730000001,-0.31488,1.50775,3.74606,1.22581,0.07349,56.98499,221.00476
"1",255921.53909999999,933164.58340000000,-0.27422,1.66730,3.77415,1.13736,-0.03047,42.73356,93.23173
"1",220659.89550000001,908600.59180000005,-0.00685,2.40175,4.89722,1.13182,0.40697,25.47460,-27.29643
"1",227213.54480000000,892064.08620000002,-0.12017,1.99598,4.26834,1.31362,0.19918,290.03470,564.57599
"1",250532.78000000000,876715.53949999996,-0.26669,1.54148,3.69378,1.03100,-0.07137,61.39100,225.86507
"1",250312.51360000001,871918.16899999999,-0.10580,1.80171,3.95994,1.07337,-0.22516,33.36367,72.91009
"1",222522.98790000001,932074.51699999999,-0.55751,1.40526,3.45813,0.95909,0.15806,19.38558,123.02969
"1",254656.80979999999,917784.88890000002,-0.47925,1.51568,3.70922,1.11157,0.08136,293.56653,600.37720
"1",224551.58360000001,942629.74029999995,0.10789,1.99963,4.00619,1.49696,0.22998,44.58880,125.07922
"1",293540.42530000000,873696.15709999995,-0.44628,1.79727,3.71406,1.13869,0.08339,75.44848,223.17296
"1",172008.15580000001,886440.31129999994,0.20554,2.19965,5.08259,1.17325,0.33013,4.20664,-33.93385
"1",193530.26879999999,920571.99939999997,0.79553,2.70009,4.44208,1.81013,0.71741,86.20273,618.58960
