DEP;PC1;PC2;PC3;PC4;PC5;PC6;PC7
0;-0.2751;-0.33944;0.18712;-0.39945;0.07373;0.84457;-0.64337
0;-1.22008;-0.13291;0.46523;-1.76288;-0.43476;0.73202;-0.33475
0;0.62784;-0.03248;0.7301;-0.04578;0.30288;-0.47734;-0.48222
0;0.13744;-0.49501;0.68912;-0.03777;0.31641;0.02619;-0.48283
0;0.58207;-0.2596;0.8087;-0.19756;0.25478;-0.11901;-0.47959
0;0.02726;-0.25956;0.53657;0.0371;0.16066;0.07574;-0.39451
0;0.67639;-0.33966;0.80116;-0.17565;0.22212;-0.00323;-0.38914
0;-1.07633;3.05175;-0.36939;0.86114;-2.53936;-0.07594;0.07987
0;-1.35506;2.08328;-0.15449;1.26185;-3.13477;-0.06715;0.27599
0;-1.31923;3.60348;-0.34668;0.37481;-1.20018;0.18249;0.08895
0;-0.78215;2.60564;0.22848;-0.57565;1.57745;0.54139;-0.43532
0;-1.96799;-0.60058;1.5603;-0.48935;0.15738;0.25808;0.85395
0;-1.42606;-0.48977;1.77776;-0.43994;0.00882;0.38675;0.86775
0;-1.70867;-0.10684;1.62796;-0.47917;0.08473;0.43063;0.68982
0;-1.88006;-0.72732;1.62186;-0.41046;-0.0611;0.16013;0.84009
0;-2.13455;9.02592;-0.13335;-0.15188;-1.7967;-0.2061;-0.21093
0;-1.45845;0.75738;0.04325;-0.14795;1.56262;0.00335;-0.22471
0;-1.55104;1.58539;-0.05455;0.33324;-0.13774;-0.21978;-0.12639
0;-2.08354;5.69183;-0.31472;0.84448;-3.41624;-0.53703;-0.00818
0;-0.78475;-0.13321;0.36889;0.54739;-0.0052;-0.12218;0.45089
0;-0.78991;0.05957;0.42367;0.12516;0.51961;-0.04828;0.37325
0;-0.71159;-0.11452;0.46037;0.41726;-0.04204;-0.13082;0.39696
0;-0.9302;0.64999;0.21338;0.15543;0.48942;-0.11858;0.39626
0;2.0108;-0.07831;0.90916;0.84481;0.24583;-0.02699;-0.03508
0;1.93911;-0.09674;0.80832;0.88783;0.39213;0.01964;-0.03312
0;1.43434;-0.12727;0.92177;0.77005;0.25595;-0.11561;-0.18085
0;1.81098;1.42415;0.48992;0.4247;1.69273;0.259;-0.23038
0;-1.46189;-0.94303;-1.23925;-0.76802;-0.0007;-0.38571;0.06591
0;-1.12454;-0.87264;-1.28076;-0.28121;0.15821;-0.17115;0.26485
0;-1.78469;-0.86733;-1.14598;-0.12274;0.2145;-0.16054;0.24506
