ETIQ,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"9",0.50674,0.37971,-1.57115,1.36239,-0.29107,0.10167,-0.15280,0.33064,0.14527
"9",-0.01661,0.63584,-0.25400,-0.05448,0.65135,1.62566,0.84809,0.12032,-2.03890
"9",0.38478,-0.04980,0.25962,0.02070,-0.71344,-0.43235,2.51495,-1.94455,-2.16555
"9",-0.42484,0.02006,-0.49934,-1.86481,-0.58437,-0.35783,0.48031,2.24679,-1.57382
"9",-0.06558,0.76407,0.23327,-0.69047,0.85447,-1.37364,0.35145,-0.63661,-0.31694
"9",0.40541,0.61016,-1.68883,-0.73407,-0.22361,0.20517,1.93846,2.84533,-0.07603
"9",0.23691,0.00315,0.06498,0.60084,-0.73063,-0.57831,0.87263,-0.00919,0.11284
"9",,,,,,,,,
"9",0.06672,-0.17255,-0.89594,-0.32066,0.04257,0.97547,3.85465,8.63176,-0.83226
"9",0.67598,0.29801,-0.04082,0.71109,-0.16158,-2.04951,0.12974,-1.02647,-0.44511
"9",-0.08429,0.09553,0.31523,-0.91436,-0.63363,-1.61112,1.26882,-1.68173,0.52295
"9",0.35751,0.26966,0.23688,1.18307,1.68583,-1.11874,-0.37876,2.06700,0.30656
"9",0.21197,-0.36793,0.17557,0.33322,0.62366,1.29551,0.69298,-0.82961,2.45432
"9",,,,,,,,,
"9",0.24139,-0.22445,0.01741,0.37592,0.41724,1.04549,0.32696,-0.33279,2.58571
"9",-0.24933,-0.30301,0.55826,0.68000,-0.69926,-0.24683,-0.13750,0.06387,-0.79050
"9",-0.32866,-0.56855,-0.32156,-0.50472,0.53844,-0.36232,1.00624,1.10808,-2.16197
"9",-0.08997,0.44902,0.28627,-0.63253,-0.17156,-0.57330,2.03011,-1.79129,1.69504
"9",-0.71942,0.45526,0.10843,-0.72791,1.55782,-0.49767,-0.83793,-0.33016,-0.00345
"9",-0.07024,-0.40969,0.03442,0.31431,0.20840,0.81715,1.11631,-1.05909,2.65332
"9",-0.79684,-0.03697,3.80391,1.71347,1.73923,-1.64171,3.57712,10.23460,-0.98897
"9",0.26263,0.87198,0.77877,-0.99369,-0.98737,0.46085,-1.84545,0.08031,-0.95798
"9",0.23742,-0.61860,-0.00258,0.52249,0.09982,0.25850,0.23024,-0.63286,-1.50933
"9",0.24296,0.28348,-0.00154,0.18558,-0.94738,-0.88123,1.66898,3.10497,-0.39994
"9",0.28946,-0.87936,-1.69417,-0.51640,-0.22035,-0.44794,0.87442,2.85093,-1.84406
"9",-0.05899,0.07555,0.62960,0.71796,-0.72278,-0.39224,0.25049,0.23693,-0.39819
"9",0.04951,-0.68175,0.67436,-0.26810,0.19437,-0.65929,-0.45448,-0.09889,-0.32113
"9",0.21642,0.06286,0.34731,-1.06248,0.89606,0.03545,-0.28089,-0.27930,2.49415
"9",-0.62632,0.06818,0.16023,-0.20181,-1.26938,-1.20959,1.57420,-1.55483,3.33369
"9",0.29159,0.28132,-0.42422,1.55944,0.05199,-0.16193,0.42632,0.81175,-0.09004
"9",-0.65455,0.28177,-1.18818,-0.04666,1.26391,-0.88426,-0.04733,2.30164,2.00932
"9",0.06725,-0.23732,0.02016,-0.17296,-0.83639,0.82798,0.08253,0.99394,-0.23805
"9",0.36701,0.35909,-1.01687,1.03662,0.32218,-0.23784,0.10695,0.58173,0.09693
"9",-0.69570,0.53415,-1.43812,-0.18068,-0.95431,0.08159,0.08996,-0.15047,-1.26689
"9",-0.15511,-0.46559,0.99574,-0.59200,-0.40073,-0.24323,-0.69133,0.87943,-0.80626
"9",0.69565,0.98227,-0.51512,0.09919,-0.44933,0.10266,0.61318,2.32493,4.29939
"9",-0.19876,-0.14286,-0.06098,0.13037,0.87806,0.35044,0.76811,-1.43192,-0.58769
"9",0.05841,-0.15869,0.45217,-0.40421,-0.21108,0.74262,-0.66027,-0.06346,1.47630
"9",-0.32039,0.42952,1.30333,-0.58307,0.23330,-0.42678,-0.00498,2.11775,-1.02358
"9",0.42726,0.31292,-0.56051,1.52574,-0.21786,-0.07429,-0.88851,-0.59239,0.06965
"9",-0.03526,-0.13658,0.42992,-0.13753,0.40957,1.30706,0.62611,-0.70696,0.04597
"9",-0.92749,-0.21775,-0.53774,-0.38760,2.58494,0.34072,-0.48863,0.33819,2.01132
"9",-0.68639,-0.19908,0.63144,-0.29035,-0.00934,-0.35942,-0.92038,0.20620,-0.38200
"9",-0.00896,-0.75664,-0.56444,-0.28846,-0.50647,-0.32971,-0.01588,-0.72424,0.49201
"9",-0.07046,0.48403,-0.50805,0.68512,0.14812,-1.83566,-1.06580,-0.90175,-2.41876
"9",0.04182,-0.21619,0.65838,-0.73816,-0.38090,0.17304,0.74411,-0.83010,0.85889
"9",0.11842,-0.40825,-0.09686,0.32784,1.20252,-0.60693,-1.06135,0.29191,-0.57631
"9",0.36669,0.63361,0.50575,-0.47973,-0.62754,-0.39114,-0.05028,1.07100,1.04040
"9",-0.20072,0.22005,0.12126,-0.18742,-0.82699,-1.62076,3.43167,-2.75262,-0.42476
"9",0.51265,0.60865,0.42518,-0.76356,0.32000,-0.06791,-1.02274,-0.54495,-1.29700
"9",-0.54680,-0.13560,-0.21702,0.30404,0.80201,0.61307,0.02987,-0.99702,-0.14766
"9",-0.46220,-0.40860,-0.20756,-0.06103,1.77186,-0.35400,-0.99988,0.41237,2.48263
"9",-0.20035,-1.26622,-0.05775,0.06336,-0.57358,-1.08691,1.31345,-1.44301,2.78037
"9",-0.38029,0.51083,-0.40866,0.16546,-0.12153,-0.03543,0.50664,3.31957,-1.78719
"9",0.02205,0.06673,-0.10984,0.32987,0.92491,0.29082,2.60598,-2.51296,-2.86878
"9",-0.24648,0.35771,-0.26162,0.33025,0.24681,-1.16222,2.86424,-2.27576,-3.20108
"9",-0.16378,-0.45750,-0.33149,0.33073,0.21206,0.59560,-0.56818,-0.68990,1.90225
"9",-0.16369,0.11656,1.01382,-0.54996,0.57844,-0.24098,-0.49771,1.37378,-1.32053
"9",0.25605,0.27231,0.23930,-1.08297,-0.59894,0.14045,0.14748,-0.53162,-0.77446
"9",0.26766,-0.63812,-0.23055,-1.08310,0.08173,1.04777,-0.25438,1.22441,-2.92089
"9",-0.05383,-0.21518,0.04188,-0.58619,-1.27331,0.11876,-1.36482,0.39419,1.73942
"9",0.38771,-0.26558,0.12477,-0.95678,1.29500,1.34790,0.60583,-0.69345,-1.57596
"9",0.07500,-0.08898,-0.34284,-0.39267,2.55823,0.30322,-0.37214,-0.18999,3.09792
"9",0.62522,-0.55212,0.32574,-0.47087,-0.20276,0.05949,-0.61359,-0.31522,-1.55965
"9",0.47023,0.21913,0.12804,0.36401,-0.16620,-1.28425,1.24602,-1.25647,-0.00177
"9",-0.71747,0.21748,0.25264,0.58487,-0.29526,1.92052,0.13477,-0.56300,0.55713
"9",-0.04254,-1.04695,0.20715,0.17408,-0.84470,-0.41177,-0.54012,0.50411,-0.27778
"9",0.22565,0.37507,0.08400,-0.14391,0.22944,-1.39639,2.48635,-2.56996,-3.22314
"9",-0.22608,0.58085,-0.09347,0.76211,0.09520,-0.70787,0.03579,-0.43901,-2.83342
"9",-0.05537,0.64481,-0.07465,0.26674,-0.40424,-0.92260,-1.13313,-0.03904,-0.98493
"9",-0.05037,0.79504,0.00397,-0.83735,0.77637,-1.26904,0.56947,-0.95741,-0.34633
"9",-0.10690,0.41208,-0.35997,0.07600,0.00087,0.29822,2.18604,-0.74415,1.60704
"9",0.15387,-0.32348,0.52263,0.66930,-0.96544,-0.44607,-0.45903,0.36553,1.35954
"9",0.27443,-0.61067,0.15153,-0.11023,-0.17840,0.77619,-0.77447,-0.21722,1.15674
"9",-0.49069,-0.23137,-0.10309,-0.21316,0.58484,-0.07799,-0.77287,0.29386,-1.53314
"9",0.72749,-0.27245,-0.01048,-0.10036,1.26831,-1.30545,-1.08345,-0.46968,-1.98717
"9",0.19969,-0.04832,-0.01598,0.51228,-0.78447,-0.31236,0.59034,-1.00105,0.19782
"9",0.36475,0.63536,-0.30544,-0.45945,-1.37100,-0.53420,1.16928,1.84250,0.15175
"9",-0.59077,0.26770,-0.41834,0.47621,-0.25154,-0.11410,-0.77292,-0.44389,0.97368
"9",-0.08314,0.14962,1.67563,-0.06276,-0.04328,0.93057,0.07830,1.88344,-1.18452
"9",0.18433,0.69615,0.94347,-0.40842,0.19558,-0.54089,-0.20201,1.97764,-1.44407
"9",-0.00775,0.01658,-0.17121,-1.74403,-0.60150,0.61111,-1.06995,0.09058,0.19897
"9",0.43053,0.62119,0.43030,-0.56780,-0.63883,0.17351,-0.06540,0.18172,1.29101
"9",-0.20261,0.20267,-0.16796,-0.81674,1.74648,-1.13935,1.50257,-0.60430,-0.26444
"9",0.04465,-0.43117,-0.20645,-0.75768,0.27594,0.16620,-0.26012,0.07983,1.34579
"9",0.00265,-0.52295,0.00333,-0.10296,-0.70622,0.58081,-1.03958,-0.20244,-0.22372
"9",0.19750,0.34526,0.61965,-0.23559,-0.52128,0.13443,-1.28400,0.31910,-1.71441
"9",-0.66156,0.63789,0.06539,0.57305,-0.07570,-0.32420,-0.18672,-0.27333,1.77830
"9",-0.22584,-0.17380,-0.15926,0.55639,0.42936,0.58863,-0.43101,-0.81020,-0.93067
"9",-0.14580,0.39577,-0.46871,0.49554,0.06955,-0.33887,-0.59052,0.28387,2.61813
"9",-0.39927,0.10797,0.41480,0.79295,-0.93555,-0.17582,0.20839,1.42805,0.21861
"9",-0.00101,-0.55947,-0.25831,0.56474,0.99777,0.54314,0.28160,-1.25048,-0.72485
"9",0.44483,-0.06572,-0.41072,0.06451,1.36981,0.29546,1.29274,-1.69013,-0.37257
"9",1.25387,0.49387,-0.45057,0.52651,-0.69711,0.43117,2.15343,3.28541,3.64399
"9",-0.21896,-0.01540,-0.01786,0.24662,0.09111,0.16690,0.64610,-1.19173,-1.29835
"9",0.67293,1.20723,0.58536,-0.57119,-0.67404,-0.03996,0.43190,-0.77417,-1.60228
"9",-0.68571,0.46746,0.04308,-0.61902,1.11417,-0.51156,-0.83129,-0.37399,-0.19676
"9",0.14824,0.78726,0.48764,-0.25341,-0.90617,0.26837,-1.33131,-0.29281,-1.33557
"9",0.74407,0.67089,0.13426,-0.96441,0.44594,0.09378,-1.87121,-0.15948,-0.45350
"9",0.51271,-0.26855,-0.80211,-1.50632,0.78836,1.31552,0.79464,0.08055,-1.62449
"9",-0.68301,0.36156,-0.63596,0.26771,1.08283,-0.67168,-0.47042,0.21095,2.36165
"9",0.43359,0.29187,-0.49128,-0.14427,0.29126,0.37723,0.07729,2.12470,-1.54552
"9",0.41022,0.72131,-0.33104,1.41731,-2.30583,0.43592,-0.30412,0.13623,4.30273
"9",0.32335,0.19119,-0.13230,0.17763,0.85694,-0.23523,1.47405,-1.63644,-0.88336
"9",0.23135,-0.33184,0.20468,0.92917,1.45621,1.20548,1.92615,-0.14904,-0.67515
"9",-0.07166,0.11323,0.22094,-1.17220,-0.78181,-1.55476,1.65968,-1.92747,1.30399
"9",0.20687,-0.76040,0.73615,-0.41684,0.11228,-0.79346,-0.48160,-0.11116,-0.20227
"9",-0.11898,-0.44029,-0.17258,-0.08914,-0.75474,0.91331,-0.74009,-0.04148,-0.61727
"9",0.24392,0.25156,0.38177,-1.34216,-0.55031,-1.69810,1.92155,-1.74844,1.55264
"9",-0.94918,0.32261,-0.78307,-1.20399,-0.28532,-1.28627,0.16329,2.14989,-0.55779
"9",0.41949,-0.92173,1.00386,-0.44812,-0.05333,-0.42017,0.16954,0.05695,0.29878
"9",0.38965,-0.11503,-0.13214,0.42740,-0.90080,-0.59583,-0.39837,-0.01244,3.24489
"9",-0.12628,0.47133,0.28261,1.07319,-0.11028,0.00025,0.30193,0.55064,-1.47847
"9",-0.29296,-0.21371,0.26863,0.59354,0.34470,0.37989,-0.63654,-0.08353,-0.95850
"9",0.13839,0.07425,0.78508,-1.09619,0.08556,-0.22177,-0.01227,-0.34556,-0.85529
"9",-0.10620,-0.09737,-0.85103,-0.29676,-1.29395,1.16119,0.16813,0.94535,-2.29469
"9",-0.05906,-0.63967,0.30230,-0.15237,0.65026,-0.85820,0.41897,-0.59849,-0.61685
"9",-0.13719,0.68888,0.23375,-0.33349,0.03854,-1.27898,1.73025,-1.76057,0.41713
"9",-0.39822,0.46980,-0.28015,0.04029,-0.20753,0.15415,0.06891,1.72712,-1.76947
"9",0.36611,0.05946,1.08496,0.52760,-0.70635,0.42673,0.98592,0.83371,-0.08886
"9",-0.13533,-0.09073,-0.41599,1.25794,-0.11942,1.12426,0.91640,-1.49510,-1.22142
"9",0.38674,-0.22539,0.64953,-0.67563,-0.29825,0.79063,1.15236,-0.90749,0.51305
"9",-0.06066,0.18599,0.24962,-0.31415,0.90125,0.39084,-1.17717,-0.10273,1.81063
"9",0.22460,-0.16902,-0.01895,-0.63423,-0.27492,-0.10947,-0.80132,0.23520,-0.68349
"9",-0.26373,-1.27124,-0.34938,0.22282,-0.49005,-0.88288,0.77444,-0.64794,2.03513
"9",0.62546,0.19044,0.01518,1.03361,0.09230,-0.05166,-0.07863,-0.52602,0.27554
"9",-0.15707,-0.50221,-1.27498,-0.65105,-0.23103,-0.95243,-0.86607,-0.16784,-0.47704
"9",,,,,,,,,
"9",0.05670,-0.37349,-0.12986,-0.06924,0.61217,0.66650,-0.89298,-0.40316,3.20594
"9",-0.62710,0.15430,0.26080,0.62340,-0.39766,1.97507,0.37217,-0.57160,0.75570
"9",0.16665,0.27418,0.17098,0.04195,-0.02817,1.23698,1.78751,-1.53249,-0.22086
"9",0.41703,0.14062,0.32401,-0.81902,1.22212,0.37834,-1.36513,0.08361,1.98687
"9",1.14236,0.70570,0.34245,-0.82484,-0.29344,-0.37225,0.08098,-0.91357,-1.64382
"9",0.72888,1.30857,0.61682,-0.92590,-0.63921,-0.35011,0.17069,-0.96177,-1.74105
"9",-0.36166,-1.45797,-0.30214,-0.06021,-0.10640,-1.38901,0.86978,-0.92147,3.66079
"9",0.09352,0.03832,-0.11567,0.71322,0.17892,-0.77964,-0.05502,-0.75111,1.15132
"9",0.29538,-0.53566,0.22453,-0.13563,0.07075,0.15626,-0.64460,-0.40359,-0.39752
"9",-0.46099,0.33380,-0.38752,0.01384,-0.40292,0.57437,0.40015,-1.40397,-0.92309
"9",-0.65099,0.15626,0.06023,0.53370,-0.20270,1.91739,0.35797,-0.36139,0.80332
"9",0.48438,-0.34741,-1.09598,0.12057,-0.22220,0.51263,3.44236,0.87329,-1.15684
"9",0.29327,-0.08861,0.28435,-0.51572,-0.07311,-0.52589,-0.86945,0.40378,0.04363
"9",0.58302,-0.02337,-0.17258,-0.08990,-1.08072,0.06532,0.53170,-0.03752,2.43988
"9",0.04186,-0.19787,0.09963,0.40358,0.52896,-0.29772,0.03296,0.15113,2.29160
"9",-0.22621,-0.11715,2.22041,2.24471,0.26775,-1.47980,5.26622,10.70739,-0.42004
"9",0.51558,-0.01122,-0.32352,0.93455,0.98147,-1.19084,-0.68848,-0.03831,0.18365
"9",0.35241,0.35462,0.34499,-1.17589,-0.70029,-1.75296,2.14046,-1.13655,1.12289
"9",0.30371,-0.57104,-0.09641,-0.72999,-0.28706,-0.96783,-0.32821,0.66846,0.02939
"9",-0.19706,-0.55180,0.22316,-1.21772,-0.11285,0.07983,-0.95124,0.60034,-0.99803
"9",0.08718,0.10596,-0.17540,-0.16720,0.23259,0.85320,-0.04255,1.01999,5.10186
"9",-0.09799,0.35717,-0.70963,-0.25831,0.14286,-0.32951,-0.81092,0.88990,1.76298
"9",0.10380,-0.04697,0.97678,0.35693,-0.50310,0.27678,-0.46092,0.48021,-0.17713
"9",-0.32209,-0.32252,-0.01260,0.75378,-2.09928,-0.00959,-0.69737,0.47302,-0.67170
"9",0.08885,-0.77769,-0.44903,-0.11353,1.14462,-0.05452,-1.12857,0.02360,3.74242
"9",-0.09210,-0.05487,0.71074,-0.28327,-0.49582,-0.31664,-0.92425,0.69092,0.30097
"9",0.46875,-0.57556,0.08580,0.36297,0.82914,0.87195,1.28657,-1.23230,-0.66062
"9",0.49281,1.15646,0.50191,-0.54459,-0.26547,0.16608,0.65991,-1.23580,-1.73735
"9",-0.05770,0.27298,0.36142,-0.88634,-0.33145,-0.94624,1.92634,-1.83938,1.35500
"9",-0.49322,-0.58842,0.94007,-0.05066,-0.21885,-0.49526,-0.24317,3.11660,-0.44899
"9",-0.33094,0.07387,0.32858,0.47738,0.24829,0.57033,-0.76674,-0.16937,-1.71512
"9",-0.34206,-0.04224,0.41964,0.56397,0.16256,0.50665,-0.59889,-0.09581,-1.62989
"9",-0.51916,0.23782,2.41972,0.31179,0.71961,-0.57974,0.54821,3.77687,-0.58453
"9",-0.04180,0.54303,-0.12148,0.33903,0.69497,2.06263,0.74777,-1.27586,-1.50858
"9",-0.55472,0.20693,-0.62775,0.19166,1.27512,-0.63138,-0.87129,0.27200,2.73507
"9",0.26719,0.47386,0.59777,-0.89280,-0.67280,1.57673,-0.78212,0.11514,-0.55726
"9",0.03509,-0.25315,-0.31589,0.60549,-0.02664,1.55158,2.37921,-1.20813,0.23092
"9",-0.31634,0.26522,-0.07229,0.81158,0.24831,-0.62298,-1.33913,0.05168,-2.06663
"9",-0.01233,-0.08378,-1.22460,0.33686,0.06056,1.51324,2.79807,1.06081,0.93774
"9",0.08849,-0.76989,0.55867,-0.18718,0.05169,-0.85327,-1.36253,0.29970,0.09183
"9",0.09278,-0.53224,0.02543,-0.85063,-0.67819,-0.12274,-0.88050,-0.13974,0.11013
"9",,,,,,,,,
"9",0.02762,-0.28440,0.11684,0.36547,0.19140,0.76308,0.84607,-0.92727,2.59511
