ETIQUETA;N;E;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
0;862854.6598;188253.9845;-0.14584;0.83372;0.84235;-0.9933;1.27575;-2.16088;2.08011;-1.56161;-0.63118
0;936616.46;294344.3586;-0.35964;0.0321;-0.33895;1.43726;-0.18743;1.06723;0.13292;-1.12897;-1.8522
0;845676.2464;267296.0271;-0.5294;0.14799;0.14953;0.49006;0.45714;-0.96781;-0.14772;-1.03236;-3.96571
0;976963.3348;168161.164;-0.11053;-0.5209;0.41536;0.11092;-0.25331;2.23327;0.29785;-0.04384;0.27958
0;871208.9466;203974.9537;-0.05277;-0.36416;0.15106;0.38981;-0.38555;-0.76113;0.45374;-0.92418;-0.70923
0;854750.8886;210130.8708;0.48816;-0.32869;-1.99932;-0.07355;0.1508;0.55647;3.7117;2.05279;-0.87776
0;973395.4923;255467.2217;0.46946;0.02558;-0.32615;0.22964;0.97335;0.28744;1.04584;-1.55378;-0.41313
0;863138.8003;219398.7656;0.43831;0.07677;0.52158;-0.24131;-0.52381;0.09899;0.50254;-0.62239;1.43619
0;960871.3816;170332.2168;0.1037;-0.01472;0.7501;0.06932;-0.35496;0.27932;-0.65583;0.07819;-0.07409
0;959999.9137;248586.8018;-0.27285;-0.16533;-0.09505;0.25028;0.62938;0.43604;0.74128;-1.38916;-0.74965
0;949124.912;255561.7154;-0.87366;0.36658;-0.83906;0.09041;-0.77851;0.2104;0.45567;-0.62893;-1.23276
0;957023.102;183285.0765;-0.15371;0.04047;0.6881;-0.02387;-0.73316;0.03357;-1.00603;0.12789;0.20789
0;952990.0077;174512.6652;0.42146;-0.05587;0.53514;-0.53782;-0.1781;-0.02351;-1.08863;0.06724;1.46514
0;922366.8937;222734.6686;0.4581;-0.37167;-0.00249;-0.24184;0.46733;0.70045;-0.98757;-0.11794;2.24005
0;971658.1677;248067.5207;0.21668;0.01432;-0.52438;0.5629;0.82054;0.70036;1.55968;-1.16739;-1.12274
0;907567.4432;165040.3104;0.19082;-0.01417;0.17555;0.34452;0.35559;0.63823;0.51751;-0.66553;3.08153
0;950232.2508;160465.2059;-0.38846;0.13526;0.06923;-0.27405;0.89707;-0.11081;-0.88826;-0.29327;1.3773
0;959667.9975;198923.0697;-0.37104;-0.09877;0.16002;-0.08449;0.62347;-0.47012;-1.42636;0.32806;0.09816
0;955341.6137;160212.445;-0.23259;0.18674;0.14387;-0.57341;1.43541;0.63574;-0.65785;-0.33188;1.66664
0;942419.5319;172564.0211;-0.8566;-0.20119;-0.01294;-0.58168;2.00422;0.18804;-1.0434;-0.23738;2.13503
0;976914.937;224018.8548;-0.14016;-0.21884;-0.15563;0.71799;0.17827;1.8472;0.11868;-0.79377;0.68902
0;962577.0943;237249.2974;-0.92491;0.36994;-0.08252;0.51182;0.10561;0.38359;-0.77139;-0.29369;0.4323
0;970834.024;281921.8953;0.47955;0.32987;-0.35244;1.29323;-0.22248;-0.25585;-0.81445;-0.47413;0.18725
0;949033.2038;202462.5408;-0.38172;-0.11915;0.04077;0.29325;-0.61862;-0.50459;-1.00693;0.82566;0.34582
0;854508.9716;262865.0141;0.14888;-0.26639;-1.14833;-0.22747;1.23753;-1.07875;-0.1748;1.9789;-0.81724
0;968816.1575;225783.6718;-0.27895;0.33301;0.21504;0.30462;-0.00883;0.71387;-0.488;0.25912;0.18465
0;972329.0366;219933.8629;-0.37278;-0.03418;-0.0493;0.26678;-0.02285;1.62985;0.25455;0.18476;0.53405
0;859476.0674;235938.7763;-0.05404;0.08916;-0.16125;0.61774;0.03788;-0.63976;-1.32696;0.19256;-2.06526
0;966539.4645;216707.3412;0.17931;-0.32193;0.32709;0.08266;-0.14557;0.65053;-0.78727;-0.15129;-0.75826
0;961193.8405;159156.1022;0.03282;-0.24826;0.27885;-0.42104;1.3454;1.71259;-0.08806;0.13322;1.66661
0;952005.6549;196889.1476;-0.6811;0.372;-0.11831;0.69578;-0.07675;-0.59192;0.55764;1.71598;2.31097
0;958401.0874;215743.0662;0.48433;-0.39648;0.42236;-0.2416;-0.14451;-0.81773;-1.08146;-0.21419;-0.75865
0;933368.2473;280536.6383;0.17582;-0.02362;-0.21738;0.91053;-0.29482;1.59168;1.92689;-1.34496;0.48239
0;945786.893;190916.6246;-0.57296;1.01873;-0.1543;0.15534;-0.58059;0.1291;-0.88528;0.11064;2.19506
0;962743.4019;197426.2551;-0.11321;-0.23405;0.07744;-0.043;-0.28088;-0.38004;-0.79409;0.29156;-0.66774
0;853378.1957;212033.342;0.39508;-0.57249;0.07693;0.42834;0.88963;0.90856;1.71754;-1.26342;-0.452
0;928666.1133;287341.4781;0.09854;0.21677;0.09012;0.15448;0.01028;1.146;1.9269;-1.29979;-0.28862
0;955889.0286;199497.8877;-0.3477;0.36141;-0.53857;0.11667;-0.10146;-0.2175;-0.84697;0.88512;0.93942
0;954273.2411;263194.4217;0.55422;0.14716;0.06269;0.61341;-0.10015;-1.21264;0.11223;-0.88483;-0.67753
0;968099.4086;289384.3601;0.19758;-0.46263;-0.9249;1.1319;0.31393;0.20197;-0.31109;-0.11631;-0.22464
0;931386.8356;284319.3355;-0.0406;-0.30377;-0.03846;0.75163;0.07921;1.40672;2.52948;-0.78544;0.15117
0;927432.7882;285009.924;0.17019;0.28956;-0.09686;0.0433;-0.05717;1.45409;1.73599;-1.45333;-0.20966
0;948960.6302;183271.6601;-0.50458;0.34659;0.42164;-0.3779;0.4365;1.39149;-0.11217;-0.2529;2.26279
0;951620.3794;159103.3192;-0.58824;-0.06049;-0.15074;-0.1567;1.78173;-0.00667;-0.91037;-0.51091;1.10209
0;862409.2084;224975.5332;1.12331;-0.42376;0.20942;-0.16396;0.65069;-0.03547;-0.17818;-0.5686;1.45892
0;971455.8649;233620.583;0.02648;-0.30222;-0.1198;0.50272;0.05007;0.44248;-0.04341;-0.29875;-0.98507
0;938176.0623;197424.1749;-0.3095;-0.32661;-0.17969;0.24826;-0.13568;0.56887;-0.71185;-0.48219;1.10728
0;919617.6375;166731.3866;0.28321;0.14618;0.20944;-0.84708;1.19405;0.56452;-0.80596;-0.28535;2.22672
0;949947.128;250954.3564;-0.61928;0.43494;-1.22162;-0.22803;-0.88066;0.75566;0.78948;0.06899;-0.88066
0;966006.6534;269959.4799;0.42233;0.38932;-0.07877;0.92088;0.01983;-0.14999;-0.3476;-0.0493;0.33068
0;945101.476;174710.4305;-0.60047;-0.40042;-0.00545;-0.62757;0.93229;0.5885;-0.58855;-0.49728;2.12111
0;929186.7797;284429.1425;0.00281;-0.13122;-0.09156;0.32996;-0.01767;1.43611;2.18357;-1.28696;0.08256
0;950180.4464;266338.1909;0.32414;-0.06256;-0.11116;0.79679;-0.06383;-0.36799;-0.14512;-0.97348;-1.63601
0;956709.16;211682.2572;0.31235;-0.2676;0.21714;0.0291;-0.56388;-0.5142;-1.52765;0.19662;-1.00546
0;933267.8466;283186.9241;0.02337;-0.07863;-0.22273;0.99879;-0.00363;1.26614;2.03438;-0.85422;-0.00631
0;917049.8084;291371.7705;0.61177;1.22729;0.43159;-0.84178;-0.45767;0.03564;0.26081;-1.24468;-1.72463
0;922014.7366;292445.7947;0.55208;1.09465;0.55492;-0.34779;-0.50047;0.06732;1.00408;-1.02686;-1.363
0;909411.7957;230650.9722;0.14094;-0.56725;0.28711;-0.56262;-0.60455;-0.10969;-1.27628;-0.27964;0.22242
0;960354.7188;242411.0606;-0.55722;-0.13352;-0.19377;0.31834;0.80219;0.62628;0.00757;-0.99626;-0.13846
0;859718.0129;228323.0383;1.12181;-0.46075;0.02774;-0.29046;1.54915;-0.6595;-0.79173;-0.61659;0.13633
0;935901.2614;280822.3709;0.10709;-0.05555;-0.54264;0.94251;-0.4853;1.41014;1.56135;-0.727;0.50045
0;964799.2611;175353.1905;0.31403;-0.23995;0.37537;-0.11958;-0.4953;0.33331;-0.80438;0.44219;0.03762
0;967029.7165;218146.2176;-0.02005;-0.11071;0.32922;-0.04815;0.1643;0.98116;-0.76424;-0.18921;-0.53556
0;953253.9497;282890.5745;0.20091;0.11672;-0.4424;1.27457;0.31762;-0.40004;-1.06925;-0.55963;-0.51111
0;966805.6486;220353.2158;0.08355;-0.15512;0.27341;0.02971;0.0126;0.98373;-0.34877;-0.1106;0.02563
0;906338.7451;201522.8858;0.64901;-0.67949;0.10672;-0.26993;-0.81051;-0.22568;-0.43952;-0.32391;3.0066
0;929110.2329;291500.6864;0.18759;0.37011;0.11154;0.39656;0.05774;1.16809;1.335;-1.05592;-0.42787
0;937979.8888;273755.8686;-0.10358;0.0878;-0.60935;0.93046;-0.69073;1.1827;0.98804;-0.62576;-0.08801
0;892886.0967;232697.1171;-0.31143;-0.15459;1.15611;-0.26241;-0.98011;-0.4683;-0.37952;1.84616;0.45753
